newick	score	visit_count
((Macaque,(Mouse,((Chimp,Human),Gorilla))),Orangutan,(Rat,(Cat,Dog)));	26.349207	12
((Cat,Macaque),((Human,Chimp),Orangutan),(Gorilla,(Mouse,(Rat,Dog))));	31.658730	9
(((Human,(Chimp,(Cat,Macaque))),((Orangutan,Gorilla),Dog)),Mouse,Rat);	44.349205	2
((((Gorilla,(Dog,Human)),(Chimp,Rat)),(Mouse,Macaque)),Cat,Orangutan);	42.285713	14
((Human,Chimp),(Cat,((Dog,Rat),(Gorilla,(Mouse,Macaque)))),Orangutan);	36.230164	4
((((Mouse,(Gorilla,(Macaque,(Rat,Cat)))),Human),Orangutan),Chimp,Dog);	49.579361	2
(((Macaque,Mouse),(Chimp,Human)),Orangutan,((Gorilla,Rat),(Cat,Dog)));	35.805557	25
(((Macaque,(Rat,Mouse)),(Cat,((Chimp,Human),Gorilla))),Orangutan,Dog);	24.317461	11
((Rat,Mouse),((Macaque,Orangutan),(Chimp,(Human,Gorilla))),(Cat,Dog));	20.599207	16
((Orangutan,(Macaque,(Rat,Mouse))),((Chimp,Human),Gorilla),(Cat,Dog));	24.460318	39
(((Gorilla,Human),(Rat,((Dog,Mouse),Macaque))),(Chimp,Cat),Orangutan);	34.738094	5
(((Macaque,Mouse),(Dog,((Chimp,Human),Gorilla))),Orangutan,(Rat,Cat));	31.126986	7
(((Macaque,Mouse),(Human,(Chimp,Gorilla))),Orangutan,(Rat,(Cat,Dog)));	29.277777	4
(((Rat,Mouse),((Macaque,(Chimp,Human)),Gorilla)),Orangutan,(Cat,Dog));	27.563490	17
